symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2019-02-05 00:00:00+00:00,174.18,175.08,172.35,172.86,36101628,41.9039541075,42.1204747109,41.4636955473,41.5863905559,144406512,0.0,1.0
AAPL,2019-02-06 00:00:00+00:00,174.24,175.57,172.85,174.65,28239591,41.9183888144,42.2383581505,41.5839847714,42.0170259782,112958364,0.0,1.0
AAPL,2019-02-07 00:00:00+00:00,170.94,173.94,170.34,172.4,31741690,41.1244799354,41.84621528,40.9801328664,41.4757244697,126966760,0.0,1.0
AAPL,2019-02-08 00:00:00+00:00,170.41,170.66,168.42,168.99,23819966,41.172595625,41.2329978837,40.6917936457,40.8295107955,95279864,0.73,1.0
AAPL,2019-02-11 00:00:00+00:00,169.43,171.21,169.25,171.05,20993425,40.9358187709,41.3658828529,40.8923291446,41.3272254073,83973700,0.0,1.0
AAPL,2019-02-12 00:00:00+00:00,170.89,171.0,169.7,170.1,22283523,41.2885679617,41.3151449555,41.0010532103,41.0976968242,89134092,0.0,1.0
AAPL,2019-02-13 00:00:00+00:00,170.18,172.48,169.92,171.39,22490233,41.117025547,41.6727263271,41.0542071979,41.4093724791,89960932,0.0,1.0
AAPL,2019-02-14 00:00:00+00:00,170.8,171.26,169.38,169.71,21835747,41.2668231486,41.3779633046,40.9237383191,41.0034693006,87342988,0.0,1.0
AAPL,2019-02-15 00:00:00+00:00,170.42,171.7,169.75,171.25,24626814,41.1750117153,41.4842712799,41.013133662,41.3755472142,98507256,0.0,1.0
AAPL,2019-02-19 00:00:00+00:00,170.93,171.44,169.49,169.71,18972826,41.2982323231,41.4214529309,40.950315313,41.0034693006,75891304,0.0,1.0
AAPL,2019-02-20 00:00:00+00:00,172.03,173.32,170.99,171.19,26114362,41.5640022614,41.8756779163,41.3127288652,41.3610506722,104457448,0.0,1.0
AAPL,2019-02-21 00:00:00+00:00,171.06,172.37,170.3,171.8,17249670,41.3296414976,41.6461493333,41.1460186312,41.5084321834,68998680,0.0,1.0
AAPL,2019-02-22 00:00:00+00:00,172.97,173.0,171.38,171.58,18913154,41.7911147542,41.7983630252,41.4069563888,41.4552781957,75652616,0.0,1.0
AAPL,2019-02-25 00:00:00+00:00,174.23,175.87,173.95,174.16,21873358,42.095542138,42.4917809552,42.0278916083,42.0786295056,87493432,0.0,1.0
AAPL,2019-02-26 00:00:00+00:00,174.33,175.3,173.17,173.71,17070211,42.1197030415,42.3540638053,41.8394365611,41.9699054399,68280844,0.0,1.0
AAPL,2019-02-27 00:00:00+00:00,174.87,175.0,172.73,173.21,27835389,42.2501719203,42.2815810949,41.7331285858,41.8491009225,111341556,0.0,1.0
AAPL,2019-02-28 00:00:00+00:00,173.15,174.91,172.92,174.32,28215416,41.8346043804,42.2598362817,41.7790343024,42.1172869512,112861664,0.0,1.0
AAPL,2019-03-01 00:00:00+00:00,174.97,175.15,172.89,174.28,25886167,42.2743328238,42.3178224501,41.7717860314,42.1076225898,103544668,0.0,1.0
AAPL,2019-03-04 00:00:00+00:00,175.85,177.75,173.97,175.69,27436203,42.4869487745,42.9460059406,42.032723789,42.4482913289,109744812,0.0,1.0
AAPL,2019-03-05 00:00:00+00:00,175.53,176.0,174.54,175.94,19737419,42.4096338833,42.5231901297,42.1704409388,42.5086935876,78949676,0.0,1.0
AAPL,2019-03-06 00:00:00+00:00,174.52,175.49,173.94,174.67,20810384,42.1656087581,42.3999695219,42.0254755179,42.2018501134,83241536,0.0,1.0
